,Suburb,Price,Landsize
0,Brunswick,1026000.0,225.0
1,Brunswick,1802500.0,238.0
2,Brunswick,680000.0,81.0
3,Brunswick,950000.0,170.0
4,Brunswick,860000.0,95.0
5,Brunswick,845500.0,179.0
6,Brunswick,860000.0,181.0
7,Brunswick,659500.0,100.0
8,Brunswick,855000.0,229.0
9,Brunswick,910000.0,215.0
10,Brunswick,940000.0,186.0
11,Brunswick,1100000.0,153.0
12,Brunswick,750000.0,118.0
13,Brunswick,620000.0,72.0
14,Brunswick,880000.0,122.0
15,Brunswick,810000.0,177.0
16,Brunswick,1105000.0,147.0
17,Brunswick,792000.0,149.0
18,Brunswick,587000.0,114.0
19,Brunswick,840000.0,186.0
20,Brunswick,890000.0,199.0
21,Brunswick,840000.0,209.0
22,Brunswick,976000.0,240.0
23,Brunswick,770000.0,152.0
24,Brunswick,825000.0,210.0
25,Brunswick,936000.0,200.0
26,Brunswick,1261000.0,216.0
27,Brunswick,1045000.0,222.0
28,Brunswick,1050000.0,239.0
29,Brunswick,620000.0,135.0
30,Brunswick,625000.0,82.0
31,Brunswick,815000.0,99.0
32,Brunswick,990000.0,194.0
33,Brunswick,871000.0,215.0
34,Brunswick,860000.0,184.0
35,Brunswick,860000.0,153.0
36,Brunswick,705000.0,161.0
37,Brunswick,800000.0,137.0
38,Brunswick,754000.0,177.0
39,Brunswick,801000.0,156.0
40,Brunswick,640000.0,110.0
41,Brunswick,705000.0,55.0
42,Brunswick,765000.0,199.0
43,Brunswick,772000.0,147.0
44,Brunswick,1073000.0,182.0
45,Brunswick,945000.0,246.0
46,Brunswick,755000.0,159.0
47,Fitzroy North,860000.0,104.0
48,Fitzroy North,870000.0,107.0
49,Fitzroy North,1116000.0,152.0
50,Fitzroy North,2170000.0,177.0
51,Fitzroy North,1000000.0,249.0
52,Fitzroy North,770000.0,134.0
53,Fitzroy North,1008000.0,150.0
54,Fitzroy North,1015000.0,112.0
55,Fitzroy North,1371000.0,197.0
56,Fitzroy North,1055000.0,122.0
57,Fitzroy North,1655000.0,176.0
58,Fitzroy North,1181000.0,148.0
59,Fitzroy North,1600000.0,188.0
60,Fitzroy North,990000.0,145.0
61,Fitzroy North,1950000.0,233.0
62,Fitzroy North,1785000.0,188.0
63,Fitzroy North,1315000.0,143.0
64,Fitzroy North,1210000.0,223.0
65,Fitzroy North,1275000.0,104.0
66,Fitzroy North,1255000.0,148.0
67,Fitzroy North,1700000.0,240.0
68,Fitzroy North,1290000.0,136.0
69,Fitzroy North,1700000.0,127.0
70,Fitzroy North,875000.0,106.0
71,Fitzroy North,1080000.0,77.0
72,Fitzroy North,1851000.0,225.0
73,Fitzroy North,899000.0,153.0
74,Fitzroy North,937500.0,100.0
75,Fitzroy North,1300000.0,203.0
76,Fitzroy North,2300000.0,197.0
77,Fitzroy North,1300000.0,127.0
78,Fitzroy North,2150000.0,202.0
79,Fitzroy North,1581000.0,193.0
80,Fitzroy North,1283000.0,204.0
81,Fitzroy North,1450000.0,118.0
82,Fitzroy North,1325000.0,160.0
83,Port Melbourne,985000.0,171.0
84,Port Melbourne,2200000.0,250.0
85,Port Melbourne,1630000.0,135.0
86,Port Melbourne,1000000.0,96.0
87,Port Melbourne,1470000.0,153.0
88,Port Melbourne,1234500.0,183.0
89,Port Melbourne,1342000.0,173.0
90,Port Melbourne,1502000.0,146.0
91,Port Melbourne,1421000.0,215.0
92,Port Melbourne,1275000.0,115.0
93,Port Melbourne,1000000.0,90.0
94,Port Melbourne,1820000.0,212.0
95,Port Melbourne,1916000.0,190.0
96,Port Melbourne,1016500.0,131.0
97,Port Melbourne,1350000.0,195.0
98,Port Melbourne,1560000.0,241.0
99,Port Melbourne,1060000.0,106.0
100,Port Melbourne,1101000.0,152.0
101,Port Melbourne,880000.0,163.0
102,Port Melbourne,1080000.0,105.0
103,Port Melbourne,1115000.0,120.0
104,Port Melbourne,1753000.0,225.0
105,Port Melbourne,825000.0,111.0
106,Port Melbourne,900000.0,124.0
107,Port Melbourne,1565000.0,188.0
108,Port Melbourne,1670000.0,140.0
109,Port Melbourne,1402000.0,108.0
110,Port Melbourne,1570000.0,210.0
111,Port Melbourne,1515000.0,211.0
112,Port Melbourne,1155000.0,112.0
113,Port Melbourne,1150000.0,82.0
114,Port Melbourne,875000.0,95.0
115,Port Melbourne,1384000.0,184.0
116,Port Melbourne,1130000.0,112.0
117,Port Melbourne,1130000.0,159.0
118,Port Melbourne,1100000.0,103.0
119,Port Melbourne,1010000.0,139.0
120,Port Melbourne,790000.0,108.0
121,Port Melbourne,1400000.0,168.0
122,Port Melbourne,1655000.0,220.0
123,Port Melbourne,1014000.0,151.0
124,Port Melbourne,1351000.0,197.0
125,Port Melbourne,3705000.0,214.0
126,Port Melbourne,1350000.0,114.0
127,Port Melbourne,2100000.0,170.0
128,Port Melbourne,2160000.0,232.0
129,Port Melbourne,1080000.0,116.0
130,Port Melbourne,1405000.0,158.0
131,Reservoir,475000.0,191.0
132,Reservoir,415000.0,189.0
133,Reservoir,352000.0,117.0
134,Reservoir,336000.0,99.0
135,Reservoir,620000.0,207.0
136,Reservoir,490000.0,91.0
137,Reservoir,805000.0,227.0
138,Reservoir,535000.0,234.0
139,Reservoir,405000.0,171.0
140,Reservoir,620500.0,158.0
141,Reservoir,260000.0,141.0
142,Reservoir,357500.0,129.0
143,Reservoir,427500.0,146.0
144,Reservoir,410000.0,180.0
145,Reservoir,450000.0,95.0
146,Reservoir,341000.0,125.0
147,Reservoir,380000.0,159.0
148,Reservoir,468000.0,234.0
149,Reservoir,380000.0,149.0
150,Reservoir,530000.0,229.0
151,Reservoir,440000.0,132.0
152,Reservoir,416000.0,159.0
153,Reservoir,436000.0,140.0
154,Reservoir,432000.0,137.0
155,Reservoir,401000.0,184.0
156,Reservoir,491000.0,168.0
157,Reservoir,420000.0,207.0
158,Reservoir,520000.0,135.0
159,Reservoir,555000.0,229.0
160,Reservoir,540000.0,215.0
161,Reservoir,678000.0,230.0
162,Reservoir,380000.0,83.0
163,Reservoir,350000.0,96.0
164,Reservoir,495000.0,96.0
165,Reservoir,568000.0,120.0
166,Reservoir,350000.0,102.0
167,Reservoir,360000.0,139.0
168,Reservoir,380000.0,220.0
169,Reservoir,400000.0,172.0
170,Reservoir,592500.0,215.0
171,Reservoir,360000.0,132.0
172,Reservoir,410000.0,250.0
173,Reservoir,440000.0,132.0
174,Reservoir,376000.0,104.0
175,Reservoir,390000.0,122.0
176,Reservoir,330000.0,90.0
177,Reservoir,470000.0,159.0
178,Reservoir,440000.0,183.0
179,Reservoir,424000.0,141.0
180,Reservoir,425000.0,145.0
181,Reservoir,480000.0,145.0
182,Reservoir,450000.0,179.0
183,Reservoir,490000.0,126.0
184,Reservoir,440000.0,153.0
185,Reservoir,450000.0,185.0
186,Reservoir,340000.0,151.0
187,Reservoir,395000.0,94.0
188,Reservoir,465000.0,111.0
189,Reservoir,300000.0,87.0
190,Reservoir,420000.0,153.0
191,Reservoir,240000.0,82.0
192,Reservoir,477000.0,115.0
193,Reservoir,433000.0,236.0
194,Reservoir,405000.0,121.0
195,Reservoir,431000.0,139.0
196,Reservoir,430000.0,152.0
197,Reservoir,390000.0,133.0
198,Richmond,937000.0,125.0
199,Richmond,1260000.0,203.0
200,Richmond,1600000.0,115.0
201,Richmond,935000.0,67.0
202,Richmond,1102000.0,194.0
203,Richmond,1042500.0,80.0
204,Richmond,1130000.0,114.0
205,Richmond,1010000.0,199.0
206,Richmond,1025000.0,169.0
207,Richmond,1102000.0,167.0
208,Richmond,1152500.0,78.0
209,Richmond,1375000.0,58.0
210,Richmond,1506000.0,220.0
211,Richmond,1474000.0,238.0
212,Richmond,1555000.0,250.0
213,Richmond,1275000.0,204.0
214,Richmond,1150000.0,176.0
215,Richmond,855000.0,92.0
216,Richmond,900000.0,95.0
217,Richmond,1250000.0,120.0
218,Richmond,990000.0,117.0
219,Richmond,1189000.0,158.0
220,Richmond,1220000.0,166.0
221,Richmond,1220000.0,80.0
222,Richmond,1100000.0,162.0
223,Richmond,1346000.0,187.0
224,Richmond,1340000.0,178.0
225,Richmond,1421000.0,196.0
226,Richmond,1074000.0,245.0
227,Richmond,1205000.0,164.0
228,Richmond,1430000.0,153.0
229,Richmond,1465000.0,233.0
230,Richmond,1035000.0,108.0
231,Richmond,930000.0,97.0
232,Richmond,1182000.0,199.0
233,Richmond,777500.0,151.0
234,Richmond,1115000.0,129.0
235,Richmond,1710000.0,202.0
236,Richmond,1420000.0,198.0
237,Richmond,1346000.0,207.0
238,Richmond,1081000.0,126.0
239,Richmond,860000.0,74.0
240,Richmond,905000.0,139.0
241,Richmond,1088000.0,168.0
242,Richmond,951000.0,108.0
243,Richmond,912000.0,204.0
244,Richmond,1285000.0,133.0
245,Richmond,1220000.0,219.0
246,Richmond,900000.0,58.0
247,Richmond,1695000.0,210.0
248,Richmond,1088000.0,158.0
249,Richmond,1045000.0,200.0
250,Richmond,1275000.0,132.0
251,Richmond,1035000.0,100.0
252,Richmond,2000000.0,194.0
253,Richmond,1550000.0,131.0
254,Richmond,1456000.0,157.0
255,Richmond,1145000.0,170.0
256,Richmond,810000.0,94.0
257,Richmond,1100000.0,66.0
258,Richmond,1220000.0,198.0
259,Richmond,1045000.0,138.0
260,Richmond,2000000.0,217.0
261,Richmond,1145000.0,197.0
262,Richmond,1285000.0,123.0
263,Richmond,1645000.0,249.0
264,Richmond,1270000.0,181.0
265,Richmond,1105000.0,55.0
266,Richmond,965000.0,158.0
267,Richmond,1100000.0,126.0
268,Richmond,1850000.0,203.0
269,Richmond,1320000.0,171.0
270,Richmond,1651000.0,192.0
271,Richmond,1032000.0,128.0
272,Richmond,915000.0,140.0
273,Richmond,1075000.0,148.0
274,Richmond,1600000.0,80.0
275,Richmond,1200000.0,170.0
276,Richmond,1555000.0,189.0
277,Richmond,1361000.0,99.0
278,Richmond,1582000.0,119.0
279,Richmond,1012000.0,80.0
280,Richmond,1570000.0,248.0
281,Richmond,1345000.0,209.0
282,Richmond,1350000.0,133.0
283,Richmond,1405000.0,212.0
284,Richmond,1495000.0,159.0
285,Richmond,1410000.0,224.0
286,Richmond,1150000.0,156.0
287,Richmond,1270000.0,152.0
288,Richmond,827500.0,127.0
289,Richmond,1500000.0,162.0
290,Richmond,1165000.0,167.0
291,Richmond,870000.0,100.0
292,Richmond,1185000.0,135.0
293,Richmond,1212500.0,108.0
294,Richmond,1125000.0,103.0
295,Richmond,1520000.0,248.0
296,Brunswick,735000.0,173.0
297,Brunswick,412000.0,85.0
298,Brunswick,1115000.0,249.0
299,Brunswick,1260000.0,192.0
300,Brunswick,830000.0,153.0
301,Brunswick,981000.0,122.0
302,Brunswick,1200000.0,225.0
303,Brunswick,600000.0,109.0
304,Brunswick,1075000.0,222.0
305,Brunswick,884000.0,148.0
306,Brunswick,957000.0,80.0
307,Fitzroy North,1200000.0,204.0
308,Fitzroy North,846000.0,160.0
309,Fitzroy North,1345000.0,176.0
310,Fitzroy North,1802500.0,182.0
311,Fitzroy North,1520000.0,138.0
312,Fitzroy North,1625000.0,204.0
313,Fitzroy North,1055000.0,192.0
314,Fitzroy North,950000.0,138.0
315,Port Melbourne,1400000.0,92.0
316,Port Melbourne,950000.0,98.0
317,Port Melbourne,1375000.0,190.0
318,Reservoir,815000.0,213.0
319,Reservoir,490000.0,143.0
320,Reservoir,615000.0,202.0
321,Reservoir,407000.0,108.0
322,Reservoir,375000.0,101.0
323,Reservoir,395000.0,166.0
324,Reservoir,505000.0,110.0
325,Richmond,950000.0,150.0
326,Richmond,1110000.0,166.0
327,Richmond,950000.0,113.0
328,Richmond,1214000.0,176.0
329,Richmond,1785000.0,240.0
330,Richmond,1050000.0,134.0
331,Richmond,2060000.0,181.0
332,Richmond,860000.0,111.0
333,Richmond,3000000.0,230.0
334,Richmond,1330000.0,154.0
335,Richmond,1210000.0,178.0
336,Richmond,911000.0,126.0
337,Fitzroy North,1350000.0,184.0
338,Fitzroy North,1852000.0,138.0
339,Fitzroy North,1100000.0,139.0
340,Port Melbourne,1665000.0,121.0
341,Port Melbourne,2450000.0,210.0
342,Reservoir,560000.0,198.0
343,Reservoir,668500.0,138.0
344,Richmond,1165000.0,149.0
345,Richmond,890500.0,180.0
346,Richmond,1442000.0,163.0
347,Brunswick,1315000.0,234.0
348,Brunswick,730000.0,134.0
349,Brunswick,700000.0,61.0
350,Brunswick,920000.0,240.0
351,Brunswick,765000.0,77.0
352,Port Melbourne,1325000.0,133.0
353,Reservoir,642500.0,160.0
354,Richmond,1400000.0,244.0
355,Richmond,1301000.0,163.0
356,Brunswick,890000.0,138.0
357,Brunswick,950000.0,230.0
358,Fitzroy North,1270000.0,183.0
359,Port Melbourne,1355000.0,156.0
360,Port Melbourne,1388000.0,104.0
361,Port Melbourne,964000.0,85.0
362,Reservoir,510000.0,178.0
363,Reservoir,635000.0,247.0
364,Richmond,1172000.0,155.0
365,Richmond,1255000.0,124.0
366,Richmond,1275000.0,110.0
367,Richmond,1120000.0,134.0
368,Richmond,1190000.0,105.0
369,Richmond,1425000.0,81.0
370,Brunswick,900000.0,191.0
371,Brunswick,1204000.0,186.0
372,Brunswick,730000.0,190.0
373,Fitzroy North,1275000.0,153.0
374,Fitzroy North,1680000.0,185.0
375,Reservoir,365000.0,113.0
376,Reservoir,470000.0,73.0
377,Richmond,890500.0,180.0
378,Richmond,1300000.0,200.0
379,Richmond,1530000.0,187.0
380,Brunswick,860000.0,245.0
381,Brunswick,1700000.0,200.0
382,Brunswick,460000.0,69.0
383,Fitzroy North,1321000.0,167.0
384,Fitzroy North,960000.0,121.0
385,Port Melbourne,1335000.0,181.0
386,Reservoir,575000.0,151.0
387,Reservoir,470000.0,142.0
388,Richmond,1000000.0,164.0
389,Richmond,1250000.0,111.0
390,Richmond,1280000.0,185.0
391,Richmond,1341000.0,135.0
392,Brunswick,1515000.0,236.0
393,Brunswick,1037000.0,210.0
394,Brunswick,1100000.0,193.0
395,Reservoir,351000.0,168.0
396,Richmond,1200000.0,189.0
397,Fitzroy North,1705000.0,139.0
398,Reservoir,325000.0,60.0
399,Fitzroy North,1502000.0,179.0
400,Reservoir,710000.0,126.0
401,Reservoir,502000.0,230.0
402,Brunswick,1110000.0,196.0
403,Reservoir,495000.0,134.0
404,Reservoir,320000.0,89.0
405,Richmond,1590000.0,83.0
406,Richmond,1667500.0,92.0
407,Brunswick,650000.0,108.0
408,Port Melbourne,1722500.0,101.0
409,Port Melbourne,1030000.0,130.0
410,Reservoir,672000.0,243.0
411,Richmond,1310000.0,209.0
412,Brunswick,1200000.0,249.0
413,Brunswick,800000.0,140.0
414,Port Melbourne,1764000.0,131.0
415,Port Melbourne,2625000.0,202.0
416,Reservoir,612500.0,170.0
417,Port Melbourne,1845000.0,114.0
418,Port Melbourne,1000000.0,99.0
419,Richmond,1525000.0,195.0
420,Richmond,1200000.0,151.0
421,Brunswick,911000.0,132.0
422,Brunswick,640000.0,82.0
423,Port Melbourne,1260000.0,112.0
424,Richmond,1500000.0,72.0
425,Richmond,1200000.0,135.0
426,Brunswick,1280000.0,212.0
427,Fitzroy North,1730000.0,175.0
428,Port Melbourne,1635000.0,112.0
429,Reservoir,680000.0,237.0
430,Fitzroy North,1385000.0,176.0
431,Fitzroy North,1400000.0,164.0
432,Fitzroy North,1870000.0,248.0
433,Fitzroy North,1620000.0,241.0
434,Port Melbourne,2455000.0,123.0
435,Port Melbourne,1515000.0,197.0
436,Reservoir,640000.0,224.0
437,Brunswick,790000.0,183.0
438,Fitzroy North,920000.0,133.0
439,Port Melbourne,2100000.0,202.0
440,Richmond,931000.0,98.0
441,Richmond,1055000.0,132.0
442,Richmond,850000.0,99.0
443,Fitzroy North,1560000.0,110.0
444,Port Melbourne,1231000.0,134.0
445,Richmond,1270000.0,170.0
446,Richmond,1100000.0,190.0
447,Brunswick,1255000.0,185.0
448,Fitzroy North,2200000.0,242.0
449,Port Melbourne,1400000.0,135.0
450,Brunswick,1080000.0,163.0
451,Brunswick,850000.0,165.0
452,Fitzroy North,1570000.0,61.0
453,Port Melbourne,1920000.0,153.0
454,Richmond,915000.0,128.0
455,Brunswick,1100000.0,243.0
456,Brunswick,1340000.0,211.0
457,Port Melbourne,1670000.0,162.0
458,Richmond,1400000.0,183.0
459,Brunswick,1360000.0,220.0
460,Fitzroy North,1370000.0,147.0
461,Fitzroy North,1450000.0,186.0
462,Port Melbourne,1410000.0,117.0
463,Richmond,1324000.0,230.0
464,Richmond,951000.0,116.0
465,Richmond,1101000.0,96.0
466,Brunswick,1011000.0,178.0
467,Brunswick,970000.0,241.0
468,Reservoir,810000.0,186.0
469,Richmond,1000000.0,143.0
470,Richmond,1700000.0,169.0
471,Richmond,1710000.0,229.0
472,Fitzroy North,2540000.0,244.0
473,Fitzroy North,1650000.0,185.0
474,Fitzroy North,1360000.0,101.0
475,Port Melbourne,1200000.0,122.0
476,Port Melbourne,2725000.0,249.0
477,Port Melbourne,1100000.0,113.0
478,Richmond,2200000.0,155.0
479,Richmond,1705000.0,229.0
480,Richmond,1360000.0,139.0
481,Brunswick,1005000.0,140.0
482,Port Melbourne,1950000.0,247.0
483,Port Melbourne,1275000.0,132.0
484,Brunswick,900000.0,182.0
485,Brunswick,915000.0,185.0
486,Fitzroy North,1780000.0,150.0
487,Fitzroy North,1125000.0,139.0
488,Richmond,1405000.0,203.0
489,Brunswick,1320000.0,243.0
490,Port Melbourne,1100000.0,89.0
491,Reservoir,460000.0,176.0
492,Fitzroy North,1300000.0,157.0
493,Port Melbourne,1200000.0,144.0
494,Port Melbourne,1725000.0,176.0
495,Richmond,745000.0,120.0
496,Richmond,1005000.0,182.0
497,Brunswick,955000.0,159.0
498,Brunswick,1276000.0,178.0
499,Brunswick,885000.0,122.0
500,Brunswick,1105000.0,239.0
501,Reservoir,445000.0,144.0
502,Reservoir,730000.0,192.0
503,Reservoir,691000.0,208.0
504,Reservoir,728000.0,239.0
505,Richmond,1798000.0,144.0
506,Richmond,1000000.0,79.0
507,Richmond,1150000.0,109.0
508,Richmond,1150000.0,104.0
509,Brunswick,805000.0,186.0
510,Brunswick,984000.0,207.0
511,Brunswick,1050000.0,231.0
512,Fitzroy North,1362500.0,180.0
513,Port Melbourne,1150000.0,148.0
514,Port Melbourne,1735000.0,208.0
515,Richmond,1185000.0,124.0
516,Richmond,1777500.0,113.0
517,Richmond,925000.0,147.0
518,Richmond,1930000.0,248.0
